Tweet,Sentiment,Polarity
RT @gawdcompIexx: This bitch is pretending to be a black trump supporter using Monique Coleman from high school musical as her avi 💀 https:…,-0.002222222222222218,negative
RT @jimlibertarian: Let's show @realDonaldTrump how strong we R with a Trump followback train👉Follow all who RT🚂 https://t.co/CaZu0dmdYG ht…,0.4333333333333333,positive
"RT @ryanstruyk: NEW: @CNN poll out this morning puts Trump's approval rating matching his all-time low of 35%, down from 40% in January.",-0.006397306397306411,negative
"RT @MaxBoot: President of the United States suggests that  immigrants are “snakes,” the kind of dehumanizing language that dictators use to…",0.6,positive
"RT @tribelaw: Confused about the Trump-Russia probe? The Schiff memo offers sweet, sweet clarity https://t.co/pFIzTyMxmn via @bv",0.09999999999999998,positive
Personally this seems like an apologia for a deeply flawed president https://t.co/FaWMMDsRa2,-0.25,negative
RT @davidmullings: Trump at CPAC: the invasion of the body snatchers is complete —&gt; “the conservatives gathered in the cavernous ballroom p…,0.1,positive
"RT @JamesFallows: For the record, I haven’t lost hope that *someday* we will have the backstory on this influential NYT piece, one week bef…",0.0,positive
RT @LOLGOP: Generations of adults who allowed Donald Trump to become president of the United States shouldn't be asking anyone else to take…,0.0,positive
"RT @MrTommyCampbell: Donald Trump “I think July 4th would be a good day for the parade.”

Yes, because the troops would much rather be marc…",0.21666666666666665,positive
RT @ZcohenCNN: Treasury Secretary Steven Mnuchin announced that Ivanka Trump briefed South Korean President Moon about the new NK sanctions…,0.13636363636363635,positive
@FoxNews @CondoleezzaRice @CondoleezzaRice like others frm the GW Admin have sold their Souls to Socialists because… https://t.co/RdrWUMuyYB,0.0,positive
"@libertycapper @eelarson @thetimhesse @allieri @inplaybashing @guskenworthy No, this is where ur wrong + cherry pic… https://t.co/myKM5rishO",-0.5,negative
RT @WhiteHouse: Merit-based immigration reform will benefit American workers and relieve the strain imposed by our current system on Federa…,0.0,positive
"RT @AmyMek: Soros is trying his hardest to stop ITALIAN elections!

Paid Antifa Terrorists &amp; Illegal Jihadi Invaders attack police, vandali…",-0.25,negative
